id_serie|titre|nb_pages|num_tome
1|Count3DeKimeteAgeru|218|1
1|Count3DeKimeteAgeru|96|2
1|Count3DeKimeteAgeru|45|3
1|Count3DeKimeteAgeru|218|4
1|Count3DeKimeteAgeru|50|5
1|Count3DeKimeteAgeru|78|6
1|Count3DeKimeteAgeru|249|7
1|Count3DeKimeteAgeru|223|8
1|Count3DeKimeteAgeru|43|9
2|AisazuNihaIrarenai|87|1
2|AisazuNihaIrarenai|81|2
2|AisazuNihaIrarenai|28|3
2|AisazuNihaIrarenai|154|4
2|AisazuNihaIrarenai|61|5
2|AisazuNihaIrarenai|249|6
2|AisazuNihaIrarenai|209|7
2|AisazuNihaIrarenai|115|8
2|AisazuNihaIrarenai|45|9
2|AisazuNihaIrarenai|36|10
2|AisazuNihaIrarenai|90|11
2|AisazuNihaIrarenai|50|12
2|AisazuNihaIrarenai|92|13
2|AisazuNihaIrarenai|75|14
2|AisazuNihaIrarenai|114|15
3|AkkeraKanjinchou|36|1
3|AkkeraKanjinchou|146|2
3|AkkeraKanjinchou|176|3
3|AkkeraKanjinchou|67|4
3|AkkeraKanjinchou|65|5
3|AkkeraKanjinchou|116|6
3|AkkeraKanjinchou|152|7
3|AkkeraKanjinchou|178|8
3|AkkeraKanjinchou|188|9
3|AkkeraKanjinchou|152|10
3|AkkeraKanjinchou|169|11
3|AkkeraKanjinchou|127|12
3|AkkeraKanjinchou|245|13
3|AkkeraKanjinchou|244|14
3|AkkeraKanjinchou|145|15
3|AkkeraKanjinchou|154|16
3|AkkeraKanjinchou|133|17
3|AkkeraKanjinchou|148|18
3|AkkeraKanjinchou|153|19
3|AkkeraKanjinchou|165|20
3|AkkeraKanjinchou|96|21
3|AkkeraKanjinchou|235|22
3|AkkeraKanjinchou|125|23
3|AkkeraKanjinchou|96|24
3|AkkeraKanjinchou|167|25
3|AkkeraKanjinchou|116|26
3|AkkeraKanjinchou|205|27
3|AkkeraKanjinchou|45|28
3|AkkeraKanjinchou|108|29
3|AkkeraKanjinchou|231|30
3|AkkeraKanjinchou|129|31
3|AkkeraKanjinchou|90|32
3|AkkeraKanjinchou|78|33
3|AkkeraKanjinchou|92|34
3|AkkeraKanjinchou|194|35
3|AkkeraKanjinchou|109|36
3|AkkeraKanjinchou|184|37
3|AkkeraKanjinchou|182|38
3|AkkeraKanjinchou|167|39
3|AkkeraKanjinchou|99|40
3|AkkeraKanjinchou|24|41
3|AkkeraKanjinchou|100|42
3|AkkeraKanjinchou|144|43
3|AkkeraKanjinchou|119|44
3|AkkeraKanjinchou|162|45
3|AkkeraKanjinchou|143|46
3|AkkeraKanjinchou|225|47
3|AkkeraKanjinchou|191|48
3|AkkeraKanjinchou|221|49
3|AkkeraKanjinchou|87|50
3|AkkeraKanjinchou|137|51
3|AkkeraKanjinchou|36|52
3|AkkeraKanjinchou|198|53
3|AkkeraKanjinchou|99|54
4|Akuhamu|41|1
4|Akuhamu|141|2
4|Akuhamu|231|3
4|Akuhamu|197|4
4|Akuhamu|29|5
4|Akuhamu|81|6
4|Akuhamu|235|7
4|Akuhamu|160|8
4|Akuhamu|204|9
4|Akuhamu|106|10
4|Akuhamu|191|11
4|Akuhamu|24|12
4|Akuhamu|248|13
4|Akuhamu|93|14
4|Akuhamu|20|15
4|Akuhamu|233|16
4|Akuhamu|86|17
4|Akuhamu|98|18
4|Akuhamu|153|19
4|Akuhamu|114|20
4|Akuhamu|184|21
4|Akuhamu|72|22
4|Akuhamu|197|23
4|Akuhamu|42|24
4|Akuhamu|111|25
4|Akuhamu|206|26
4|Akuhamu|108|27
4|Akuhamu|67|28
4|Akuhamu|129|29
4|Akuhamu|89|30
4|Akuhamu|20|31
4|Akuhamu|84|32
4|Akuhamu|131|33
4|Akuhamu|167|34
4|Akuhamu|106|35
4|Akuhamu|124|36
4|Akuhamu|152|37
4|Akuhamu|166|38
4|Akuhamu|144|39
4|Akuhamu|218|40
4|Akuhamu|78|41
4|Akuhamu|46|42
4|Akuhamu|225|43
4|Akuhamu|118|44
4|Akuhamu|177|45
4|Akuhamu|117|46
4|Akuhamu|69|47
4|Akuhamu|80|48
4|Akuhamu|57|49
4|Akuhamu|105|50
4|Akuhamu|72|51
4|Akuhamu|212|52
4|Akuhamu|41|53
4|Akuhamu|87|54
4|Akuhamu|225|55
4|Akuhamu|235|56
4|Akuhamu|86|57
4|Akuhamu|47|58
4|Akuhamu|74|59
4|Akuhamu|96|60
4|Akuhamu|209|61
4|Akuhamu|164|62
4|Akuhamu|149|63
5|AosugiruHaru|222|1
5|AosugiruHaru|181|2
5|AosugiruHaru|97|3
5|AosugiruHaru|114|4
5|AosugiruHaru|172|5
5|AosugiruHaru|54|6
5|AosugiruHaru|31|7
5|AosugiruHaru|108|8
5|AosugiruHaru|22|9
5|AosugiruHaru|157|10
5|AosugiruHaru|219|11
5|AosugiruHaru|205|12
5|AosugiruHaru|75|13
5|AosugiruHaru|55|14
5|AosugiruHaru|66|15
